prod_norm_name,prod_form_norm_name,code,prod_pack_1_2,prod_pack_1_size,origin,prod_d_norm_name,const
113,"ТАБЛЕТКИ КИШЕЧНОРАСТВОРИМЫЕ, ПОКРЫТЫЕ ОБОЛОЧКОЙ",3,3.0,10.0,2.0,5 мг,1
115,КАПЛИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,15.0,1.0,7.5 мг/мл,1
115,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,10.0,1.0,5 мг,1
116,РАСТВОР ДЛЯ ПРИЕМА ВНУТРЬ И ИНГАЛЯЦИЙ,3,1.0,100.0,2.0,7.5 мг/мл,1
116,СИРОП,3,1.0,100.0,1.0,3 мг/мл,1
116,ТАБЛЕТКИ,3,2.0,10.0,1.0,30 мг,1
116,ТАБЛЕТКИ,3,2.0,10.0,2.0,30 мг,1
120,КАПЛИ НАЗАЛЬНЫЕ,3,1.0,10.0,2.0,НЕ УКАЗАНО,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,100 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,50 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,100 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,12.5 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,25 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,50 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,2.0,50 мг,1
124,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,9.0,10.0,1.0,50 мг,1
125,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,21.0,2.0,3 мг + 0.03 мг,1
125,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,28.0,2.0,3 мг + 0.02 мг,1
125,"ТАБЛЕТКИ, ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ",3,1.0,28.0,2.0,3 мг + 0.02 мг,1
126,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,21.0,2.0,75 мкг + 30 мкг,1
126,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,21.0,2.0,НЕ УКАЗАНО,1
127,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,21.0,2.0,2 мг + 0.03 мг,1
129,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,10 мг,1
129,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,50.0,1.0,5 мг,1
129,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,5 мг,1
130,КАПСУЛЫ КИШЕЧНОРАСТВОРИМЫЕ С ПРОЛОНГИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ,3,3.0,10.0,2.0,0.4 мг,1
130,КАПСУЛЫ С МОДИФИЦИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ,3,3.0,10.0,1.0,0.4 мг,1
132,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,10 мг,1
132,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,20 мг,1
132,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,40 мг,1
132,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,9.0,10.0,2.0,20 мг,1
132,"ТАБЛЕТКИ, ПОКРЫТЫЕ ОБОЛОЧКОЙ",3,3.0,10.0,1.0,20 мг,1
138,СУППОЗИТОРИИ РЕКТАЛЬНЫЕ,3,2.0,5.0,1.0,100 мг,1
138,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,100.0,1.0,120 мг/5 мл,1
138,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,100.0,2.0,120 мг/5 мл,1
140,ТАБЛЕТКИ КИШЕЧНОРАСТВОРИМЫЕ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,100 мг,1
140,ТАБЛЕТКИ ПОКРЫТЫЕ КИШЕЧНОРАСТВОРИМОЙ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,14.0,2.0,100 мг,1
140,ТАБЛЕТКИ ПОКРЫТЫЕ КИШЕЧНОРАСТВОРИМОЙ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,14.0,2.0,50 мг,1
140,ТАБЛЕТКИ ШИПУЧИЕ,3,4.0,4.0,2.0,500 мг,1
141,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,15 мг,1
143,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,15.0,1.0,500 мг,1
143,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,1000 мг,1
145,КАПСУЛЫ,3,3.0,10.0,1.0,2.5 мг,1
145,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,2.5 мг,1
150,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,20.0,2.0,2.5 мг + 400 мг,1
158,КАПСУЛЫ,3,1.0,3.0,1.0,500 мг,1
158,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ СУСПЕНЗИИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,16.74,2.0,200 мг/5 мл,1
158,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,3.0,1.0,500 мг,1
162,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,50.0,1.0,5 %,1
162,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,50.0,2.0,5 %,1
162,КАПСУЛЫ,3,1.0,8.0,2.0,200 мг,1
162,КАПСУЛЫ,3,1.0,10.0,2.0,200 мг,1
162,КАПСУЛЫ,3,1.0,10.0,2.0,400 мг,1
162,КАПСУЛЫ,3,2.0,8.0,2.0,200 мг,1
162,КАПСУЛЫ,3,2.0,10.0,2.0,400 мг,1
162,КРЕМ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,50.0,2.0,5 %,1
162,КРЕМ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,100.0,2.0,5 %,1
162,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,100.0,2.0,100 мг/5 мл,1
162,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,8.0,2.0,200 мг,1
162,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,12.0,2.0,400 мг,1
162,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,2.0,10.0,2.0,200 мг,1
162,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,10.0,2.0,400 мг,1
164,КАПЛИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,20.0,2.0,10 мг/мл,1
164,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,10.0,1.0,10 мг,1
164,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,2.0,10 мг,1
168,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,12.5 мг + 50 мг,1
173,ТАБЛЕТКИ,3,1.0,60.0,1.0,1000 мг,1
173,ТАБЛЕТКИ,3,1.0,60.0,1.0,850 мг,1
173,ТАБЛЕТКИ,3,3.0,20.0,1.0,500 мг,1
173,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,4.0,15.0,1.0,1000 мг,1
173,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,4.0,15.0,1.0,850 мг,1
187,ТАБЛЕТКИ,3,2.0,10.0,1.0,500 мг,1
187,ТАБЛЕТКИ,3,2.0,10.0,2.0,500 мг,1
189,ДРАЖЕ КИШЕЧНОРАСТВОРИМЫЕ,3,2.0,10.0,2.0,НЕ УКАЗАНО,1
189,ДРАЖЕ КИШЕЧНОРАСТВОРИМЫЕ,3,4.0,10.0,2.0,НЕ УКАЗАНО,1
194,ГЕЛЬ ДЛЯ ПРИЕМА ВНУТРЬ,3,20.0,16.0,2.0,НЕ УКАЗАНО,1
202,КАПСУЛЫ,3,14.0,7.0,2.0,200 мг,1
208,КАПСУЛЫ С ПРОЛОНГИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ,3,2.0,15.0,1.0,200 мг,1
212,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,170.0,2.0,НЕ УКАЗАНО,1
213,СУСПЕНЗИЯ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,170.0,2.0,НЕ УКАЗАНО,1
215,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,40.0,2.0,2 %,1
219,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,1.0,5 %,1
219,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,2.0,2.5 %,1
219,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,50.0,1.0,5 %,1
219,КРЕМ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,2.0,5 %,1
220,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,50.0,2.0,1.5 мг,1
223,МАЗЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,40.0,2.0,100 мг/г,1
223,СУППОЗИТОРИИ РЕКТАЛЬНЫЕ,3,2.0,5.0,1.0,50 мг,1
223,ТАБЛЕТКИ КИШЕЧНОРАСТВОРИМЫЕ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,30.0,2.0,25 мг,1
224,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,10.0,2.0,НЕ УКАЗАНО,1
226,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,8.0,10.0,2.0,35 мг,1
230,ТАБЛЕТКИ,3,2.0,10.0,2.0,500 мг + 5 мг + 0.1 мг,1
230,ТАБЛЕТКИ,3,2.0,10.0,2.0,НЕ УКАЗАНО,1
232,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,2.0,2 %,1
232,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,50.0,2.0,2 %,1
232,ГЕЛЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,100.0,1.0,5 %,1
232,КАПЛИ ГЛАЗНЫЕ,3,1.0,5.0,2.0,0.1 %,1
232,МАЗЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,1.0,1 %,1
232,МАЗЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,1.0,2 %,1
232,СУППОЗИТОРИИ РЕКТАЛЬНЫЕ,3,2.0,5.0,1.0,100 мг,1
232,ТАБЛЕТКИ КИШЕЧНОРАСТВОРИМЫЕ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,10.0,1.0,50 мг,1
232,ТАБЛЕТКИ ПРОЛОНГИРОВАННОГО ДЕЙСТВИЯ ПОКРЫТЫЕ КИШЕЧНОРАСТВОРИМОЙ ОБОЛОЧКОЙ,3,2.0,10.0,1.0,100 мг,1
232,"Таблетки кишечнорастворимые, покрытые пленочной оболочкой",3,2.0,10.0,1.0,25 мг,1
234,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,6.0,10.0,1.0,200 мг,1
235,РАСТВОР ДЛЯ ИНЪЕКЦИЙ,3,10.0,2.0,1.0,20 мг/мл,1
237,РАСТВОР ДЛЯ ВНУТРИМЫШЕЧНОГО ВВЕДЕНИЯ,3,3.0,1.5,1.0,10 мг/мл,1
237,РАСТВОР ДЛЯ ВНУТРИМЫШЕЧНОГО ВВЕДЕНИЯ,3,5.0,1.5,2.0,10 мг/мл,1
237,ТАБЛЕТКИ,3,2.0,10.0,1.0,15 мг,1
237,ТАБЛЕТКИ,3,2.0,10.0,1.0,7.5 мг,1
237,ТАБЛЕТКИ,3,2.0,10.0,2.0,15 мг,1
239,ТАБЛЕТКИ,3,1.0,60.0,2.0,25 мг,1
239,ТАБЛЕТКИ,3,3.0,10.0,1.0,50 мг,1
239,"ТАБЛЕТКИ С ПРОЛОНГИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ, ПОКРЫТЫЕ ОБОЛОЧКОЙ",3,1.0,14.0,2.0,25 мг,1
239,"ТАБЛЕТКИ С ПРОЛОНГИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ, ПОКРЫТЫЕ ОБОЛОЧКОЙ",3,1.0,30.0,2.0,50 мг,1
240,КАПСУЛЫ,3,6.0,10.0,2.0,400 мг + 25 мг,1
242,ТАБЛЕТКИ,3,1.0,30.0,1.0,5 мг,1
242,ТАБЛЕТКИ,3,2.0,14.0,1.0,10 мг,1
242,ТАБЛЕТКИ,3,2.0,14.0,1.0,5 мг,1
242,ТАБЛЕТКИ,3,2.0,15.0,2.0,5 мг,1
242,ТАБЛЕТКИ,3,4.0,14.0,1.0,5 мг,1
245,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ СУСПЕНЗИИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,7.7,2.0,200 мг + 28.5 мг/5 мл,1
245,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ СУСПЕНЗИИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,12.6,2.0,400 мг + 57 мг/5 мл,1
245,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ СУСПЕНЗИИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,25.0,2.0,125 мг + 31.25 мг/5 мл,1
245,ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ СУСПЕНЗИИ ДЛЯ ПРИЕМА ВНУТРЬ,3,1.0,25.0,2.0,250 мг + 62.5 мг/5 мл,1
245,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,7.0,2.0,500 мг + 125 мг,1
245,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,2.0,7.0,2.0,875 мг + 125 мг,1
245,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,5.0,2.0,500 мг + 125 мг,1
249,ТАБЛЕТКИ,3,1.0,4.0,2.0,70 мг,1
252,ТАБЛЕТКИ,3,1.0,10.0,1.0,10 мг,1
254,СПРЕЙ НАЗАЛЬНЫЙ ДОЗИРОВАННЫЙ,3,1.0,60.0,2.0,50 мкг/доза,1
254,СПРЕЙ НАЗАЛЬНЫЙ ДОЗИРОВАННЫЙ,3,1.0,120.0,2.0,50 мкг/доза,1
255,ТАБЛЕТКИ ЖЕВАТЕЛЬНЫЕ,3,3.0,10.0,2.0,100 мг,1
256,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,10 мг,1
256,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,20 мг,1
257,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,50.0,1.0,10 мг,1
259,КАПСУЛЫ,3,1.0,10.0,2.0,7 мг,1
262,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,5.0,10.0,1.0,50 мг,1
266,СУСПЕНЗИЯ ДЛЯ ИНГАЛЯЦИЙ ДОЗИРОВАННАЯ,3,20.0,2.0,2.0,0.5 мг/мл,1
267,ТАБЛЕТКИ,3,1.0,20.0,1.0,10 мг,1
267,ТАБЛЕТКИ,3,1.0,20.0,1.0,20 мг,1
267,ТАБЛЕТКИ,3,2.0,10.0,1.0,10 мг,1
267,ТАБЛЕТКИ,3,2.0,10.0,1.0,5 мг,1
267,ТАБЛЕТКИ,3,6.0,10.0,1.0,5 мг,1
270,КАПЛИ ГЛАЗНЫЕ,3,1.0,5.0,2.0,0.3 %,1
270,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,10.0,1.0,500 мг,1
270,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,10.0,2.0,500 мг,1
270,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,10.0,10.0,2.0,500 мг,1
274,КРЕМ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,1.0,1 %,1
276,ТАБЛЕТКИ ЖЕВАТЕЛЬНЫЕ,3,3.0,10.0,2.0,НЕ УКАЗАНО,1
276,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,30.0,1.0,НЕ УКАЗАНО,1
276,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,1.0,60.0,1.0,НЕ УКАЗАНО,1
276,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,60.0,1.0,НЕ УКАЗАНО,1
277,КРЕМ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,15.0,1.0,0.05 %,1
277,КРЕМ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,1.0,0.05 %,1
277,МАЗЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,15.0,1.0,0.05 %,1
277,МАЗЬ ДЛЯ НАРУЖНОГО ПРИМЕНЕНИЯ,3,1.0,30.0,1.0,0.05 %,1
277,СУСПЕНЗИЯ ДЛЯ ИНЪЕКЦИЙ,3,1.0,1.0,2.0,2 мг + 5 мг/мл,1
280,СИРОП,3,1.0,150.0,2.0,НЕ УКАЗАНО,1
281,СИРОП,3,1.0,150.0,2.0,НЕ УКАЗАНО,1
285,СИРОП,3,1.0,100.0,1.0,1.5 мг/мл,1
285,СИРОП,3,1.0,100.0,2.0,1.5 мг/мл,1
285,СИРОП,3,1.0,200.0,2.0,1.5 мг/мл,1
288,ДРАЖЕ,3,1.0,50.0,1.0,НЕ УКАЗАНО,1
291,КАПСУЛЫ КИШЕЧНОРАСТВОРИМЫЕ,3,1.0,20.0,2.0,10000 ЕД,1
291,КАПСУЛЫ КИШЕЧНОРАСТВОРИМЫЕ,3,1.0,20.0,2.0,25000 Ед,1
291,КАПСУЛЫ КИШЕЧНОРАСТВОРИМЫЕ,3,1.0,50.0,2.0,10000 ЕД,1
291,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,4.0,20.0,2.0,НЕ УКАЗАНО,1
298,ТАБЛЕТКИ ПОКРЫТЫЕ ОБОЛОЧКОЙ,3,4.0,7.0,2.0,20 мг,1
299,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,1.0,15.0,1.0,100 мг,1
303,ТАБЛЕТКИ ПОКРЫТЫЕ ПЛЕНОЧНОЙ ОБОЛОЧКОЙ,3,3.0,10.0,1.0,80 мг,1
304,ТАБЛЕТКИ С МОДИФИЦИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ,3,2.0,15.0,1.0,60 мг,1
304,ТАБЛЕТКИ С МОДИФИЦИРОВАННЫМ ВЫСВОБОЖДЕНИЕМ,3,6.0,10.0,1.0,30 мг,1
